latitude,longitude,codigo,descricao
-23565253,-46712235,P1, Portaria 1 (Entrada)
-23565529,-46711979,P1,Portaria 1 (Saida)
-23550838,-46732312,P2, Portaria 2 (Entrada)
-23550696,-46732289,P2,Portaria 2 (Saida)
-23568963,-46741036,P3, Portaria 3 (Entrada)
-23569175,-46741318,P3,Portaria 3 (Saida)
