longitude,latitude
-46709351,-23571260
-46708050,-23567780
-46708050,-23567780
-46707748,-23567770
-46707619,-23567680
-46707569,-23567579
-46707588,-23567280
-46707741,-23567150
-46707909,-23567101
-46708000,-23567120
-46708191,-23567249
-46712681,-23564989
-46712681,-23564989
-46712749,-23564631
-46712749,-23564631
-46712830,-23562759
-46712742,-23561810
-46712830,-23561131
-46712990,-23560711
-46713188,-23560369
-46713692,-23559811
-46714329,-23559469
-46716751,-23558371
-46717831,-23557810
-46719120,-23557261
-46720249,-23556931
-46723171,-23555450
-46724689,-23554480
-46731659,-23551050
-46731659,-23551050
-46731781,-23551090
-46731789,-23551210
-46731251,-23551491
-46731251,-23551491
-46733360,-23555290
-46734211,-23556620
-46734211,-23556620
-46734661,-23556860
-46734730,-23556950
-46734741,-23557100
-46734661,-23557270
-46734390,-23557301
-46734081,-23557171
-46733120,-23557720
-46730659,-23558929
-46729118,-23559561
-46728168,-23560020
-46721642,-23563351
-46721642,-23563351
-46721642,-23563530
-46721642,-23563530
-46722912,-23564280
-46723629,-23564600
-46725540,-23565651
-46727730,-23566730
-46729290,-23567570
-46729698,-23567490
-46729919,-23567530
-46730061,-23567619
-46730160,-23567760
-46730202,-23567980
-46730301,-23568081
-46730419,-23568119
-46731602,-23568081
-46732300,-23568211
-46733269,-23568781
-46733761,-23568880
-46734192,-23568781
-46735779,-23567900
-46735779,-23567900
-46735901,-23567949
-46735882,-23568081
-46735550,-23568251
-46735550,-23568251
-46735500,-23568430
-46735561,-23568529
-46736031,-23568890
-46736401,-23569090
-46737080,-23569220
-46737419,-23569189
-46737888,-23569050
-46739128,-23568460
-46739922,-23568140
-46739922,-23568140
-46740002,-23568041
-46740250,-23568020
-46740372,-23568119
-46740349,-23568340
-46740108,-23568439
-46739700,-23568331
-46739159,-23568510
-46737900,-23569111
-46737270,-23569281
-46736900,-23569260
-46736439,-23569160
-46736019,-23568960
-46735519,-23568590
-46735371,-23568560
-46734890,-23568590
-46734890,-23568590
-46734409,-23568911
-46733822,-23569071
-46733459,-23569071
-46732941,-23568859
-46732941,-23568859
-46732910,-23568689
-46733040,-23568649
-46733269,-23568781
-46733608,-23568871
-46733761,-23568880
-46734192,-23568781
-46737202,-23567089
-46737759,-23566730
-46738480,-23566000
-46739361,-23564529
-46739819,-23564199
-46741261,-23563419
-46741402,-23563259
-46741402,-23563259
-46741520,-23562540
-46741589,-23562380
-46742271,-23561279
-46742939,-23560390
-46743000,-23560190
-46743000,-23560190
-46743000,-23560141
-46742630,-23559820
-46742409,-23559710
-46739128,-23559690
-46738979,-23559660
-46738701,-23559509
-46738541,-23559509
-46738541,-23559509
-46738338,-23559521
-46738209,-23559460
-46738152,-23559349
-46735909,-23559370
-46735691,-23559481
-46732761,-23559750
-46732761,-23559750
-46732342,-23559910
-46732239,-23560150
-46732239,-23560150
-46732182,-23560350
-46731911,-23560480
-46731571,-23560480
-46731400,-23560390
-46730671,-23560711
-46729271,-23562120
-46729099,-23562710
-46729118,-23563540
-46728920,-23564270
-46729000,-23564671
-46729080,-23564871
-46729622,-23565050
-46729881,-23565260
-46730080,-23565540
-46730381,-23566509
-46730450,-23566891
-46730110,-23567680
-46730110,-23567680
-46730160,-23567820
-46730160,-23567820
-46730061,-23568110
-46729900,-23568239
-46729630,-23568300
-46729500,-23568270
-46729389,-23568159
-46729130,-23567699
-46725380,-23565889
-46721458,-23563730
-46721458,-23563730
-46721371,-23563789
-46721130,-23563829
-46720810,-23563749
-46720699,-23563540
-46720692,-23563299
-46720692,-23563299
-46719131,-23562410
-46719131,-23562410
-46718990,-23562490
-46718719,-23562531
-46718472,-23562420
-46718472,-23562420
-46716122,-23563511
-46713558,-23564800
-46713558,-23564800
-46713470,-23565140
-46713280,-23565281
-46713131,-23565319
-46712830,-23565241
-46712830,-23565241
-46712669,-23565260
-46711842,-23565590
-46711842,-23565590
-46711739,-23567110
-46711651,-23570129
-46711559,-23571260
-46711151,-23573339
-46711151,-23573339
-46710209,-23573669
-46710209,-23573669
-46709549,-23571800
