latitude,longitude,codigo,descricao
-23560722,-46735286,Física,Bandeijao da Fisica;
-23565620,-46726025,Química,Bandeijao da Quimica;
-23559444,-46722258,Central,Bandeijao Central;
-23558618,-46738354,COCESP,Bandeijao da COCESP;
-23561804,-46730243,Professores,Bandeijao dos professores;
